1,"Ram serije 03.","M",16.9700000000,491.6700000000,8343.65,20.00,1668.73,10012.38,1
2,"Ram serije 06.","M",3.0200000000,491.6700000000,1484.85,20.00,296.97,1781.82,4
3,"Staklo 2mm ugrađeno u ram.","M2",0.4900000000,1100.0000000000,539.00,20.00,107.80,646.80,4
4,"Uramljivanje u ram serije 01.","M",42.3600000000,408.3300000000,17296.85,20.00,3459.37,20756.22,5
5,"Staklo 2mm ugrađeno u ram.","M2",3.9000000000,1100.0000000000,4290.00,20.00,858.00,5148.00,5
6,"Termoizolaciono staklo Katedral 4mm+L+Elow 4mm.","M2",0.2000000000,2478.0000000000,495.60,20.00,99.12,594.72,6
7,"Termoizolaciono staklo Delta 4mm+L+Elow 4mm.","M2",2.9500000000,2478.0000000000,7310.10,20.00,1462.02,8772.12,6
8,"Termoizolaciono staklo Solar 4mm+L+Elow 4mm.","M2",1.0000000000,2950.0000000000,2950.00,20.00,590.00,3540.00,6
9,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","M2",29.1500000000,2478.0000000000,72233.70,20.00,14446.74,86680.44,6
10,"Zlatne ukrasne lajsne za termoizolaciono staklo.","M",3.0000000000,590.0000000000,1770.00,20.00,354.00,2124.00,6
11,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","M2",10.2300000000,2478.0000000000,25349.94,20.00,5069.99,30419.93,7
12,"Staklo flot 6mm.","M2",0.9600000000,1770.0000000000,1699.20,20.00,339.84,2039.04,7
13,"Usluga Peskarenja stakla sa zaštitnom emulzijom.","M2",0.9600000000,826.0000000000,792.96,20.00,158.59,951.55,7
14,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm. ","M2",0.9800000000,2065.0000000000,2023.70,20.00,404.74,2428.44,8
15,"Termoizolaciono staklo Katedral 4mm+L+Flot 4mm.","M2",0.6300000000,2242.0000000000,1412.46,20.00,282.49,1694.95,8
16,"Staklo flot 4mm.","M2",0.5200000000,944.0000000000,490.88,20.00,98.18,589.06,8
17,"Staklo flot 4mm.","M2",0.4600000000,1200.0000000000,552.00,20.00,110.40,662.40,9
18,"Usluga Peskarenja stakla sa motivom i zaštitnom emulzijom.","M2",0.4600000000,2000.0000000000,920.00,20.00,184.00,1104.00,9
19,"Staklo flot 4mm.","M2",0.6200000000,1200.0000000000,744.00,20.00,148.80,892.80,10
20,"Usluga izrade fazete do 10mm na staklu.","M",7.5000000000,208.3300000000,1562.50,20.00,312.50,1875.00,10
21,"Usluga bušenja rupa na staklu prečnika 6mm.","PCS",12.0000000000,75.0000000000,900.00,20.00,180.00,1080.00,10
22,"Ogledalo 4mm KP, dimenzije 2030x456mm 6 komada.","M2",5.5800000000,1395.9400000000,7789.35,20.00,1557.87,9347.22,11
23,"Ogledalo 4mm KP, dimenzije 2030x370mm 6 komada.","M2",4.5600000000,1381.7800000000,6300.92,20.00,1260.18,7561.10,11
24,"Ogledalo 4mm KP, dimenzije 1500x223mm 10 komada.","M2",3.4000000000,1387.6800000000,4718.11,20.00,943.62,5661.73,11
25,"Staklo parsol bronza KP, bušenje rupa 4xfi7mm po staklu, dimenzije 480x400mm 10 komada.","M2",1.9000000000,2111.0200000000,4010.94,20.00,802.19,4813.13,11
26,"Ogledalo 3mm KP, dimenzije 1860x480mm 1 komad.","M2",0.9600000000,1180.0000000000,1132.80,20.00,226.56,1359.36,12
27,"Satinirano staklo 4mm, dimenzije 943x294mm 1 komad.","M2",0.2900000000,1652.0700000000,479.10,20.00,95.82,574.92,12
28,"Usluga bušenja rupa na staklu prečnika 7mm.","PCS",1.0000000000,29.5000000000,29.50,20.00,5.90,35.40,12
30,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","M2",2.8500000000,3923.1000000000,11180.84,20.00,2236.17,13417.01,15
32,"Ram serije 15.","M2",13.1600000000,1375.0000000000,18095.00,20.00,3619.00,21714.00,17
33,"Ogledalo 4mm","M2",1.2300000000,2700.0000000000,3321.00,20.00,664.20,3985.20,17
34,"Ram serije 09.","M2",1.1800000000,491.6500000000,580.15,20.00,116.03,696.18,18
35,"Staklo 2mm ugrađeno u ram.","M2",0.1000000000,1100.0000000000,110.00,20.00,22.00,132.00,18
36,"Staklo flot 3mm.","M2",1.6600000000,991.6600000000,1646.16,20.00,329.23,1975.39,19
37,"Troslojno termoizolaciono staklo Flot 4mm+L+Satinirano 4mm+L+Flot 4mm","M2",0.9800000000,4720.0000000000,4625.60,20.00,925.12,5550.72,20
38,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","M2",22.6200000000,2478.0000000000,56052.36,20.00,11210.47,67262.83,20
39,"Termoizolaciono staklo Grizl 4mm+L+Flot 4mm.","M2",1.0200000000,2242.0000000000,2286.84,20.00,457.37,2744.21,20
40,"Troslojno termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Solar 4mm.","M2",7.7900000000,3540.0000000000,27576.60,20.00,5515.32,33091.92,20
41,"Termoizolaciono staklo Flot 4mm+L+Satinirano 4mm","M2",0.6500000000,3081.0000000000,2002.65,20.00,400.53,2403.18,20
42,"Troslojno termoizolaciono staklo Solar 4mm+L+Flot 4mm+L+Elow 4mm.","M2",5.9000000000,3894.0000000000,22974.60,20.00,4594.92,27569.52,20
43,"Troslojno termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Elow 4mm.","M2",1.7500000000,3422.0000000000,5988.50,20.00,1197.70,7186.20,20
44,"Troslojno termoizolaciono staklo Flot 4mm+L+Satinirano 4mm+L+Flot 4mm.","M2",0.5600000000,4720.0000000000,2643.20,20.00,528.64,3171.84,20
45,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","M2",6.4300000000,1888.0000000000,12139.84,20.00,2427.97,14567.81,20
