1,"Ram serije 03.","m",16.9700000000,491.6700000000,8343.6500000000,20.00,1668.73,10012.38,1,"2020-01-15 12:29:33","2020-01-15 12:29:33",1
2,"Ram serije 06.","m",3.0200000000,491.6700000000,1484.8500000000,20.00,296.97,1781.82,4,"2020-01-15 16:24:57","2020-01-15 16:24:57",1
3,"Staklo 2mm ugrađeno u ram.","m2",0.4900000000,1100.0000000000,539.0000000000,20.00,107.80,646.80,4,"2020-01-15 16:24:57","2020-01-15 16:24:57",1
4,"Uramljivanje u ram serije 01.","m",42.3600000000,408.3300000000,17296.8500000000,20.00,3459.37,20756.22,5,"2020-01-15 16:29:35","2020-01-15 16:29:35",1
5,"Staklo 2mm ugrađeno u ram.","m2",3.9000000000,1100.0000000000,4290.0000000000,20.00,858.00,5148.00,5,"2020-01-15 16:29:35","2020-01-15 16:29:35",1
6,"Termoizolaciono staklo Katedral 4mm+L+Elow 4mm.","m2",0.2000000000,2478.0000000000,495.6000000000,20.00,99.12,594.72,6,"2020-01-15 17:03:38","2020-01-15 17:03:38",1
7,"Termoizolaciono staklo Delta 4mm+L+Elow 4mm.","m2",2.9500000000,2478.0000000000,7310.1000000000,20.00,1462.02,8772.12,6,"2020-01-15 17:03:38","2020-01-15 17:03:38",1
8,"Termoizolaciono staklo Solar 4mm+L+Elow 4mm.","m2",1.0000000000,2950.0000000000,2950.0000000000,20.00,590.00,3540.00,6,"2020-01-15 17:03:38","2020-01-15 17:03:38",1
9,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","m2",29.1500000000,2478.0000000000,72233.7000000000,20.00,14446.74,86680.44,6,"2020-01-15 17:03:38","2020-01-15 17:03:38",1
10,"Zlatne ukrasne lajsne za termoizolaciono staklo.","m",3.0000000000,590.0000000000,1770.0000000000,20.00,354.00,2124.00,6,"2020-01-15 17:03:38","2020-01-15 17:03:38",1
11,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","m2",10.2300000000,2478.0000000000,25349.9400000000,20.00,5069.99,30419.93,7,"2020-01-15 17:10:56","2020-01-15 17:13:40",1
12,"Staklo flot 6mm.","m2",0.9600000000,1770.0000000000,1699.2000000000,20.00,339.84,2039.04,7,"2020-01-15 17:10:56","2020-01-15 17:13:40",1
13,"Usluga Peskarenja stakla sa zaštitnom emulzijom.","m2",0.9600000000,826.0000000000,792.9600000000,20.00,158.59,951.55,7,"2020-01-15 17:10:56","2020-01-15 17:13:40",1
14,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm. ","m2",0.9800000000,2065.0000000000,2023.7000000000,20.00,404.74,2428.44,8,"2020-01-15 17:23:02","2020-01-15 17:23:02",1
15,"Termoizolaciono staklo Katedral 4mm+L+Flot 4mm.","m2",0.6300000000,2242.0000000000,1412.4600000000,20.00,282.49,1694.95,8,"2020-01-15 17:23:02","2020-01-15 17:23:02",1
16,"Staklo flot 4mm.","m2",0.5200000000,944.0000000000,490.8800000000,20.00,98.18,589.06,8,"2020-01-15 17:23:02","2020-01-15 17:23:02",1
17,"Staklo flot 4mm.","m2",0.4600000000,1200.0000000000,552.0000000000,20.00,110.40,662.40,9,"2020-01-16 07:34:06","2020-01-16 07:34:06",1
18,"Usluga Peskarenja stakla sa motivom i zaštitnom emulzijom.","m2",0.4600000000,2000.0000000000,920.0000000000,20.00,184.00,1104.00,9,"2020-01-16 07:34:06","2020-01-16 07:34:06",1
19,"Staklo flot 4mm.","m2",0.6200000000,1200.0000000000,744.0000000000,20.00,148.80,892.80,10,"2020-01-16 08:15:05","2020-01-16 08:15:05",1
20,"Usluga izrade fazete do 10mm na staklu.","m",7.5000000000,208.3300000000,1562.5000000000,20.00,312.50,1875.00,10,"2020-01-16 08:15:05","2020-01-16 08:15:05",1
21,"Usluga bušenja rupa na staklu prečnika 6mm.","kom",12.0000000000,75.0000000000,900.0000000000,20.00,180.00,1080.00,10,"2020-01-16 08:15:05","2020-01-16 08:15:05",1
22,"Ogledalo 4mm KP, dimenzije 2030x456mm 6 komada.","m2",5.5800000000,1395.9400000000,7789.3500000000,20.00,1557.87,9347.22,11,"2020-01-16 08:46:34","2020-01-16 08:46:34",1
23,"Ogledalo 4mm KP, dimenzije 2030x370mm 6 komada.","m2",4.5600000000,1381.7800000000,6300.9200000000,20.00,1260.18,7561.10,11,"2020-01-16 08:46:34","2020-01-16 08:46:34",1
24,"Ogledalo 4mm KP, dimenzije 1500x223mm 10 komada.","m2",3.4000000000,1387.6800000000,4718.1100000000,20.00,943.62,5661.73,11,"2020-01-16 08:46:34","2020-01-16 08:46:34",1
25,"Staklo parsol bronza KP, bušenje rupa 4xfi7mm po staklu, dimenzije 480x400mm 10 komada.","m2",1.9000000000,2111.0200000000,4010.9400000000,20.00,802.19,4813.13,11,"2020-01-16 08:46:34","2020-01-16 08:46:34",1
26,"Ogledalo 3mm KP, dimenzije 1860x480mm 1 komad.","m2",0.9600000000,1180.0000000000,1132.8000000000,20.00,226.56,1359.36,12,"2020-01-16 08:49:43","2020-01-16 08:49:43",1
27,"Satinirano staklo 4mm, dimenzije 943x294mm 1 komad.","m2",0.2900000000,1652.0700000000,479.1000000000,20.00,95.82,574.92,12,"2020-01-16 08:49:43","2020-01-16 08:49:43",1
28,"Usluga bušenja rupa na staklu prečnika 7mm.","kom",1.0000000000,29.5000000000,29.5000000000,20.00,5.90,35.40,12,"2020-01-16 08:49:43","2020-01-16 08:49:43",1
30,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","m2",2.8500000000,3923.1000000000,11180.8400000000,20.00,2236.17,13417.01,15,"2020-01-17 08:04:51","2020-01-17 08:04:51",1
32,"Ram serije 15.","m2",13.1600000000,1375.0000000000,18095.0000000000,20.00,3619.00,21714.00,17,"2020-01-18 11:46:54","2020-01-18 11:46:54",1
33,"Ogledalo 4mm","m2",1.2300000000,2700.0000000000,3321.0000000000,20.00,664.20,3985.20,17,"2020-01-18 11:46:54","2020-01-18 11:46:54",1
34,"Ram serije 09.","m2",1.1800000000,491.6500000000,580.1500000000,20.00,116.03,696.18,18,"2020-01-18 11:48:18","2020-01-18 11:48:18",1
35,"Staklo 2mm ugrađeno u ram.","m2",0.1000000000,1100.0000000000,110.0000000000,20.00,22.00,132.00,18,"2020-01-18 11:48:18","2020-01-18 11:48:18",1
36,"Staklo flot 3mm.","m2",1.6600000000,991.6600000000,1646.1600000000,20.00,329.23,1975.39,19,"2020-01-20 18:08:02","2020-01-20 18:08:02",4
37,"Troslojno termoizolaciono staklo Flot 4mm+L+Satinirano 4mm+L+Flot 4mm","m2",0.9800000000,4720.0000000000,4625.6000000000,20.00,925.12,5550.72,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
38,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","m2",22.6200000000,2478.0000000000,56052.3600000000,20.00,11210.47,67262.83,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
39,"Termoizolaciono staklo Grizl 4mm+L+Flot 4mm.","m2",1.0200000000,2242.0000000000,2286.8400000000,20.00,457.37,2744.21,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
40,"Troslojno termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Solar 4mm.","m2",7.7900000000,3540.0000000000,27576.6000000000,20.00,5515.32,33091.92,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
41,"Termoizolaciono staklo Flot 4mm+L+Satinirano 4mm","m2",0.6500000000,3081.0000000000,2002.6500000000,20.00,400.53,2403.18,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
42,"Troslojno termoizolaciono staklo Solar 4mm+L+Flot 4mm+L+Elow 4mm.","m2",5.9000000000,3894.0000000000,22974.6000000000,20.00,4594.92,27569.52,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
43,"Troslojno termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Elow 4mm.","m2",1.7500000000,3422.0000000000,5988.5000000000,20.00,1197.70,7186.20,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
44,"Troslojno termoizolaciono staklo Flot 4mm+L+Satinirano 4mm+L+Flot 4mm.","m2",0.5600000000,4720.0000000000,2643.2000000000,20.00,528.64,3171.84,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
45,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","m2",6.4300000000,1888.0000000000,12139.8400000000,20.00,2427.97,14567.81,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
46,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Flot 4mm.","m2",1.4200000000,3186.0000000000,4524.1200000000,20.00,904.82,5428.94,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
47,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","m2",7.2000000000,1888.0000000000,13593.6000000000,20.00,2718.72,16312.32,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
48,"Termoizolaciono staklo Flot 4mm+L+Griz 4mm.","m2",0.2000000000,2242.0000000000,448.4000000000,20.00,89.68,538.08,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
49,"Termoizolaciono staklo Flot 4mm+L+Stopsol bronza 4mm.","m2",1.4700000000,4248.0000000000,6244.5600000000,20.00,1248.91,7493.47,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
50,"Bele ukrasne lajsne.","m",14.6700000000,590.0000000000,8655.3000000000,20.00,1731.06,10386.36,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
51,"Usluga Peskarenja stakla sa motivom.","m2",1.3300000000,2000.0000000000,2660.0000000000,20.00,532.00,3192.00,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
52,"Ogledalo 3mm KP, dimenzije 2466x781mm 1 komad.","m2",2.0200000000,1180.0000000000,2383.6000000000,20.00,476.72,2860.32,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
53,"Satinirano staklo 4mm, dimenzije 804x388mm 1 komad.","m2",0.3200000000,1652.0300000000,528.6500000000,20.00,105.73,634.38,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
54,"Satinirano staklo 4mm, dimenzije 963x314mm 1 komad.","m2",0.3300000000,1651.9700000000,545.1500000000,20.00,109.03,654.18,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
55,"Staklo flot 4mm KP, dimenzije 722x293mm 1 komad.","m2",0.2300000000,850.8700000000,195.7000000000,20.00,39.14,234.84,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
56,"Usluga bušenja rupa na staklu prečnika 7mm.","kom",3.0000000000,29.5000000000,88.5000000000,20.00,17.70,106.20,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
57,"Ogledalo 4mm KP, dimenzije 1414x257mm 210 komada.","m2",81.9000000000,1387.6800000000,113650.9900000000,20.00,22730.20,136381.19,22,"2020-01-21 18:19:28","2020-01-21 18:19:28",1
58,"Ogledalo 3mm sa Fazetom do 10mm, dimenzije 750x360mm 10 komada.","m2",2.7000000000,1310.9800000000,3539.6500000000,20.00,707.93,4247.58,22,"2020-01-21 18:19:28","2020-01-21 18:19:28",1
59,"Staklo flot 4mm KP sa bušenjem 6 rupa po staklu prečnika 7mm, dimenzije 341x454mm 10 komada.","m2",1.6000000000,1954.0900000000,3126.5500000000,20.00,625.31,3751.86,22,"2020-01-21 18:19:28","2020-01-21 18:19:28",1
60,"Staklo parsol bronza KP, bušenje rupa 4xfi7mm po staklu, dimenzije 480x400mm 20 komada.","m2",3.8000000000,2111.0300000000,8021.9000000000,20.00,1604.38,9626.28,22,"2020-01-21 18:19:28","2020-01-21 18:19:28",1
